all: b'\x00\x00\x00'
...BCS says: c1e98f
....BCS says: 5200005ffffffe
....BCS says: 5200015ffffffe
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.1	Amps: 0.0	Watts: 0
..........Volts: 308.0	Amps: 0.0	Watts: 0
..........Volts: 308.0	Amps: 0.0	Watts: 0
..........Volts: 307.9	Amps: 0.0	Watts: 0
..........Volts: 307.6	Amps: 1.1	Watts: 338
..........Volts: 307.6	Amps: 0.9	Watts: 276
..........Volts: 307.6	Amps: 0.9	Watts: 276
..........Volts: 307.6	Amps: 0.9	Watts: 276
..........Volts: 307.6	Amps: 0.8	Watts: 246
..........Volts: 308.8	Amps: 0.8	Watts: 247
..........Volts: 309.9	Amps: -9.5	Watts: -2944
..........Volts: 310.4	Amps: -13.3	Watts: -4128
..........Volts: 310.4	Amps: -14.1	Watts: -4376
..........Volts: 310.5	Amps: -14.6	Watts: -4533
..........Volts: 310.7	Amps: -15.1	Watts: -4691
..........Volts: 310.5	Amps: -15.4	Watts: -4781
..........Volts: 311.2	Amps: -15.7	Watts: -4885
..........Volts: 311.1	Amps: -16.4	Watts: -5102
..........Volts: 311.5	Amps: -16.6	Watts: -5170
...........Volts: 311.1	Amps: -16.8	Watts: -5226
..........Volts: 311.5	Amps: -17.0	Watts: -5295
..........Volts: 310.9	Amps: -17.2	Watts: -5347
..........Volts: 311.0	Amps: -17.3	Watts: -5380
..........Volts: 311.3	Amps: -17.3	Watts: -5385
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.4	Amps: -17.2	Watts: -5356
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.3	Amps: -17.3	Watts: -5385
..........Volts: 311.3	Amps: -17.3	Watts: -5385
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.4	Amps: -17.3	Watts: -5387
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 312.0	Amps: -17.3	Watts: -5397
..........Volts: 311.9	Amps: -17.3	Watts: -5395
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.3	Amps: -17.3	Watts: -5385
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.6	Amps: -17.3	Watts: -5390
..........Volts: 311.9	Amps: -17.3	Watts: -5395
..........Volts: 312.0	Amps: -17.3	Watts: -5397
..........Volts: 311.9	Amps: -17.3	Watts: -5395
..........Volts: 312.1	Amps: -17.3	Watts: -5399
.........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 312.4	Amps: -17.3	Watts: -5404
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.9	Amps: -17.3	Watts: -5395
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.5	Amps: -17.3	Watts: -5388
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 311.7	Amps: -17.3	Watts: -5392
..........Volts: 311.9	Amps: -17.3	Watts: -5395
..........Volts: 312.4	Amps: -17.3	Watts: -5404
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 311.8	Amps: -17.3	Watts: -5394
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.0	Amps: -17.3	Watts: -5397
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.5	Amps: -17.3	Watts: -5406
..........Volts: 312.5	Amps: -17.3	Watts: -5406
..........Volts: 312.4	Amps: -17.3	Watts: -5404
..........Volts: 312.0	Amps: -17.3	Watts: -5397
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.5	Amps: -17.3	Watts: -5406
..........Volts: 312.2	Amps: -17.3	Watts: -5401
..........Volts: 312.7	Amps: -17.3	Watts: -5409
..........Volts: 312.5	Amps: -17.3	Watts: -5406
.........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.7	Amps: -17.3	Watts: -5409
..........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.6	Amps: -17.3	Watts: -5407
...........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.4	Amps: -17.3	Watts: -5404
..........Volts: 312.5	Amps: -17.3	Watts: -5406
..........Volts: 313.0	Amps: -17.3	Watts: -5414
..........Volts: 312.3	Amps: -17.3	Watts: -5402
..........Volts: 312.4	Amps: -17.3	Watts: -5404
..........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.6	Amps: -17.3	Watts: -5407
..........Volts: 312.4	Amps: -17.3	Watts: -5404
..........Volts: 312.5	Amps: -17.3	Watts: -5406
..........Volts: 312.1	Amps: -17.3	Watts: -5399
..........Volts: 312.5	Amps: -17.3	Watts: -5406
..........Volts: 312.9	Amps: -17.3	Watts: -5413
..........Volts: 312.4	Amps: -17.3	Watts: -5404
